"AREA";"PERIMETER";"PR_";"PR_ID";"RINGS_OK";"RINGS_NOK";"WRSPR";"PR";"PATH";"ROW";"MODE";"DAYCLASS";"SEQUENCE";"ctry_id";"ctry_name";"ctry_abbr"
13.37197;24.20224;365;365;1;0;29117;29117;29;117;"D";1;2597;12;"Antarctica";"AT"
17.59412;26.34467;369;369;1;0;29121;29121;29;121;"D";1;2601;12;"Antarctica";"AT"
17.88179;25.68473;370;370;1;0;29122;29122;29;122;"D";1;2602;12;"Antarctica";"AT"
17.59407;26.3444;495;495;1;0;29247;29247;29;247;"D";1;2727;93;"Greenland";"GR"
16.81745;27.20782;496;496;1;0;29248;29248;29;248;"D";1;2728;93;"Greenland";"GR"
15.74327;26.98606;497;497;1;0;45001;45001;45;1;"D";1;2729;40;"Canada";"CA"
15.74327;26.98606;497;497;1;0;45001;45001;45;1;"D";1;2729;93;"Greenland";"GR"
14.55366;25.84254;498;498;1;0;45002;45002;45;2;"D";1;2730;40;"Canada";"CA"
13.37249;24.20303;499;499;1;0;45003;45003;45;3;"D";1;2731;40;"Canada";"CA"
12.26691;22.40265;500;500;1;0;45004;45004;45;4;"D";1;2732;40;"Canada";"CA"
11.26511;20.64284;501;501;1;0;45005;45005;45;5;"D";1;2733;40;"Canada";"CA"
10.37231;19.0218;502;502;1;0;45006;45006;45;6;"D";1;2734;40;"Canada";"CA"
9.58429;17.57671;503;503;1;0;45007;45007;45;7;"D";1;2735;40;"Canada";"CA"
8.89179;16.31113;504;504;1;0;45008;45008;45;8;"D";1;2736;40;"Canada";"CA"
8.2821;15.21129;505;505;1;0;45009;45009;45;9;"D";1;2737;40;"Canada";"CA"
7.74512;14.25915;506;506;1;0;45010;45010;45;10;"D";1;2738;40;"Canada";"CA"
7.26977;13.43508;507;507;1;0;45011;45011;45;11;"D";1;2739;40;"Canada";"CA"
6.84788;12.71918;508;508;1;0;45012;45012;45;12;"D";1;2740;40;"Canada";"CA"
6.47325;12.09713;509;509;1;0;45013;45013;45;13;"D";1;2741;40;"Canada";"CA"
6.13738;11.55188;510;510;1;0;45014;45014;45;14;"D";1;2742;40;"Canada";"CA"
5.83598;11.07248;511;511;1;0;45015;45015;45;15;"D";1;2743;40;"Canada";"CA"
5.56414;10.6484;512;512;1;0;45016;45016;45;16;"D";1;2744;40;"Canada";"CA"
5.31932;10.27308;513;513;1;0;45017;45017;45;17;"D";1;2745;40;"Canada";"CA"
5.09703;9.93826;514;514;1;0;45018;45018;45;18;"D";1;2746;40;"Canada";"CA"
4.89436;9.63686;515;515;1;0;45019;45019;45;19;"D";1;2747;40;"Canada";"CA"
4.70892;9.36486;516;516;1;0;45020;45020;45;20;"D";1;2748;40;"Canada";"CA"
4.53992;9.11984;517;517;1;0;45021;45021;45;21;"D";1;2749;40;"Canada";"CA"
4.38564;8.89833;518;518;1;0;45022;45022;45;22;"D";1;2750;40;"Canada";"CA"
4.24222;8.69448;519;519;1;0;45023;45023;45;23;"D";1;2751;40;"Canada";"CA"
4.10997;8.50779;520;520;1;0;45024;45024;45;24;"D";1;2752;40;"Canada";"CA"
3.98941;8.33887;521;521;1;0;45025;45025;45;25;"D";1;2753;40;"Canada";"CA"
3.87718;8.18263;522;522;1;0;45026;45026;45;26;"D";1;2754;40;"Canada";"CA"
3.87718;8.18263;522;522;1;0;45026;45026;45;26;"D";1;2754;239;"United States of America";"US"
3.77487;8.04108;523;523;1;0;45027;45027;45;27;"D";1;2755;239;"United States of America";"US"
3.67742;7.90698;524;524;1;0;45028;45028;45;28;"D";1;2756;239;"United States of America";"US"
3.58803;7.78452;525;525;1;0;45029;45029;45;29;"D";1;2757;239;"United States of America";"US"
3.50501;7.67126;526;526;1;0;45030;45030;45;30;"D";1;2758;239;"United States of America";"US"
3.42826;7.56676;527;527;1;0;45031;45031;45;31;"D";1;2759;239;"United States of America";"US"
3.35611;7.46912;528;528;1;0;45032;45032;45;32;"D";1;2760;239;"United States of America";"US"
3.29036;7.38022;529;529;1;0;45033;45033;45;33;"D";1;2761;239;"United States of America";"US"
3.22665;7.2943;530;530;1;0;45034;45034;45;34;"D";1;2762;239;"United States of America";"US"
2.71953;6.61881;569;569;1;0;45073;45073;45;73;"D";1;2801;189;"French Polynesia";"PY"
2.76872;6.68369;571;571;1;0;45075;45075;45;75;"D";1;2803;189;"French Polynesia";"PY"
15.74391;26.9876;615;615;1;0;45119;45119;45;119;"D";1;2847;12;"Antarctica";"AT"
16.81781;27.20858;616;616;1;0;45120;45120;45;120;"D";1;2848;12;"Antarctica";"AT"
17.59412;26.34467;617;617;1;0;45121;45121;45;121;"D";1;2849;12;"Antarctica";"AT"
17.88179;25.68473;618;618;1;0;45122;45122;45;122;"D";1;2850;12;"Antarctica";"AT"
17.59407;26.3444;743;743;1;0;45247;45247;45;247;"D";1;2975;40;"Canada";"CA"
16.81755;27.20801;744;744;1;0;45248;45248;45;248;"D";1;2976;40;"Canada";"CA"
15.74323;26.98605;745;745;1;0;61001;61001;61;1;"D";1;2977;40;"Canada";"CA"
14.55366;25.84254;746;746;1;0;61002;61002;61;2;"D";1;2978;40;"Canada";"CA"
13.37242;24.20284;747;747;1;0;61003;61003;61;3;"D";1;2979;40;"Canada";"CA"
12.26613;22.40128;748;748;1;0;61004;61004;61;4;"D";1;2980;40;"Canada";"CA"
11.26545;20.64343;749;749;1;0;61005;61005;61;5;"D";1;2981;40;"Canada";"CA"
10.3727;19.02256;750;750;1;0;61006;61006;61;6;"D";1;2982;40;"Canada";"CA"
9.58419;17.57651;751;751;1;0;61007;61007;61;7;"D";1;2983;40;"Canada";"CA"
8.89221;16.31173;752;752;1;0;61008;61008;61;8;"D";1;2984;40;"Canada";"CA"
8.28216;15.21131;753;753;1;0;61009;61009;61;9;"D";1;2985;40;"Canada";"CA"
7.74491;14.25878;754;754;1;0;61010;61010;61;10;"D";1;2986;40;"Canada";"CA"
7.26977;13.43508;755;755;1;0;61011;61011;61;11;"D";1;2987;40;"Canada";"CA"
6.84788;12.71918;756;756;1;0;61012;61012;61;12;"D";1;2988;40;"Canada";"CA"
6.47325;12.09713;757;757;1;0;61013;61013;61;13;"D";1;2989;40;"Canada";"CA"
6.13738;11.55188;758;758;1;0;61014;61014;61;14;"D";1;2990;40;"Canada";"CA"
5.83598;11.07248;759;759;1;0;61015;61015;61;15;"D";1;2991;40;"Canada";"CA"
5.56414;10.6484;760;760;1;0;61016;61016;61;16;"D";1;2992;40;"Canada";"CA"
5.31932;10.27308;761;761;1;0;61017;61017;61;17;"D";1;2993;40;"Canada";"CA"
5.09703;9.93826;762;762;1;0;61018;61018;61;18;"D";1;2994;40;"Canada";"CA"
5.09703;9.93826;762;762;1;0;61018;61018;61;18;"D";1;2994;239;"United States of America";"US"
4.89436;9.63686;763;763;1;0;61019;61019;61;19;"D";1;2995;40;"Canada";"CA"
4.89436;9.63686;763;763;1;0;61019;61019;61;19;"D";1;2995;239;"United States of America";"US"
2.5814;6.43709;803;803;1;0;61059;61059;61;59;"D";1;3035;124;"Republic of Kiribati";"KI"
8.28187;15.21121;855;855;1;0;61111;61111;61;111;"D";1;3087;12;"Antarctica";"AT"
8.89139;16.30985;856;856;1;0;61112;61112;61;112;"D";1;3088;12;"Antarctica";"AT"
9.58461;17.57656;857;857;1;0;61113;61113;61;113;"D";1;3089;12;"Antarctica";"AT"
10.37279;19.02258;858;858;1;0;61114;61114;61;114;"D";1;3090;12;"Antarctica";"AT"
11.26545;20.64343;859;859;1;0;61115;61115;61;115;"D";1;3091;12;"Antarctica";"AT"
12.26725;22.40324;860;860;1;0;61116;61116;61;116;"D";1;3092;12;"Antarctica";"AT"
13.37197;24.20224;861;861;1;0;61117;61117;61;117;"D";1;3093;12;"Antarctica";"AT"
14.55279;25.84115;862;862;1;0;61118;61118;61;118;"D";1;3094;12;"Antarctica";"AT"
15.74391;26.9876;863;863;1;0;61119;61119;61;119;"D";1;3095;12;"Antarctica";"AT"
16.81781;27.20858;864;864;1;0;61120;61120;61;120;"D";1;3096;12;"Antarctica";"AT"
